Pitch #,Inning,Half,Pitching Team,Pitcher #,Pitcher,Batting Team,Batter,Pitch Code,Pitch Type,Count Before,Count After,Recorded At
160,6,top,home,39,Trey Yesavage,away,Carson Benge,B,Ball,"=""0-2""","=""1-2""",2026-06-30T00:24:12.471Z
161,6,top,home,39,Trey Yesavage,away,Carson Benge,B,Ball,"=""1-2""","=""2-2""",2026-06-30T00:24:29.102Z
162,6,top,home,39,Trey Yesavage,away,Carson Benge,C,Called Strike,"=""2-2""","=""2-3""",2026-06-30T00:24:48.303Z
163,6,top,home,39,Trey Yesavage,away,Juan Soto,F,Foul,"=""0-0""","=""0-1""",2026-06-30T00:25:16.839Z
164,6,top,home,39,Trey Yesavage,away,Juan Soto,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:25:32.236Z
165,6,top,home,39,Trey Yesavage,away,Juan Soto,B,Ball,"=""1-1""","=""2-1""",2026-06-30T00:25:47.423Z
166,6,top,home,39,Trey Yesavage,away,Juan Soto,IP,In Play,"=""2-1""","=""2-1""",2026-06-30T00:26:10.375Z
167,6,top,home,39,Trey Yesavage,away,Bo Bichette,IP,In Play,"=""0-0""","=""0-0""",2026-06-30T00:26:36.829Z
168,6,bottom,away,59,Sean Manaea,home,Nathan Lukes,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:30:50.305Z
169,6,bottom,away,59,Sean Manaea,home,Nathan Lukes,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:30:50.746Z
170,6,bottom,away,59,Sean Manaea,home,Nathan Lukes,IP,In Play,"=""1-1""","=""1-1""",2026-06-30T00:30:59.287Z
171,6,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:31:01.990Z
172,6,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:31:02.505Z
173,6,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,IP,In Play,"=""1-1""","=""1-1""",2026-06-30T00:31:06.803Z
177,6,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:31:28.934Z
178,6,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,B,Ball,"=""1-0""","=""2-0""",2026-06-30T00:31:29.466Z
179,6,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,F,Foul,"=""2-0""","=""2-1""",2026-06-30T00:31:30.454Z
180,6,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,F,Foul,"=""2-1""","=""2-2""",2026-06-30T00:31:45.909Z
181,6,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,IP,In Play,"=""2-2""","=""2-2""",2026-06-30T00:31:52.296Z
182,6,bottom,away,59,Sean Manaea,home,Ernie Clement,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:32:44.710Z
183,6,bottom,away,59,Sean Manaea,home,Ernie Clement,B,Ball,"=""1-0""","=""2-0""",2026-06-30T00:32:47.770Z
184,6,bottom,away,59,Sean Manaea,home,Ernie Clement,B,Ball,"=""2-0""","=""3-0""",2026-06-30T00:33:53.229Z
185,6,bottom,away,59,Sean Manaea,home,Ernie Clement,C,Called Strike,"=""3-0""","=""3-1""",2026-06-30T00:34:04.435Z
186,6,bottom,away,59,Sean Manaea,home,Ernie Clement,B,Ball,"=""3-1""","=""4-1""",2026-06-30T00:34:19.751Z
187,6,bottom,away,44,Austin Warren,home,Brandon Valenzuela,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:37:35.286Z
